image_index,class_index,class_name,simple_prompt,complex_prompt
0,6,frog,a pixelated photo of the frog.,a cropped photo of a strange frog.
1,9,truck,a cropped photo of a truck.,a pixelated photo of the modern truck.
2,9,truck,a jpeg corrupted photo of a truck.,a bright photo of a modern truck.
3,4,deer,a rendition of a deer.,a photo of a noisy deer.
4,1,automobile,a low resolution photo of a automobile.,a close-up photo of a realistic automobile.
5,1,automobile,a pixelated photo of the automobile.,a jpeg corrupted photo of a fast automobile.
6,2,bird,a blurry photo of a bird.,a rendition of a cute bird.
7,7,horse,a bad photo of a horse.,a bad photo of a realistic horse.
8,8,ship,a bright photo of a ship.,a photo of a colorful ship.
9,3,cat,a low resolution photo of a cat.,a cropped photo of a strange cat.
10,4,deer,a cropped photo of a deer.,a blurry photo of a fast deer.
11,7,horse,a black and white photo of the horse.,a rendition of a strange horse.
12,7,horse,a blurry photo of a horse.,a pixelated photo of the colorful horse.
13,2,bird,a jpeg corrupted photo of a bird.,a rendition of a strange bird.
14,9,truck,a bright photo of a truck.,a rendition of a colorful truck.
15,9,truck,a photo of a truck.,a small photo of the fast truck.
16,9,truck,a low resolution photo of a truck.,a photo of a cute truck.
17,3,cat,a bad photo of a cat.,a bad photo of a fast cat.
18,2,bird,a black and white photo of the bird.,a cropped photo of a realistic bird.
19,6,frog,a blurry photo of a frog.,a pixelated photo of the strange frog.
20,4,deer,a black and white photo of the deer.,a blurry photo of a colorful deer.
21,3,cat,a low resolution photo of a cat.,a rendition of a big cat.
22,6,frog,a rendition of a frog.,a rendition of a colorful frog.
23,6,frog,a black and white photo of the frog.,a rendition of a fast frog.
24,2,bird,a pixelated photo of the bird.,a blurry photo of a realistic bird.
25,6,frog,a jpeg corrupted photo of a frog.,a black and white photo of the big frog.
26,3,cat,a black and white photo of the cat.,a low resolution photo of a fast cat.
27,5,dog,a bad photo of a dog.,a cropped photo of a strange dog.
28,4,deer,a low resolution photo of a deer.,a bad photo of a big deer.
29,0,airplane,a bad photo of a airplane.,a rendition of a strange airplane.
30,0,airplane,a cropped photo of a airplane.,a rendition of a small airplane.
31,9,truck,a close-up photo of a truck.,a black and white photo of the realistic truck.
32,1,automobile,a rendition of a automobile.,a small photo of the colorful automobile.
33,3,cat,a blurry photo of a cat.,a photo of a old cat.
34,4,deer,a photo of a deer.,a bright photo of a big deer.
35,0,airplane,a rendition of a airplane.,a bad photo of a colorful airplane.
