Prompt,J_Norm_TE,J_Norm_IE
The No Limits Business Woman Podcast,81.05404555468684,78.28723155789838
Renegade RSS Laptop Backpack - View 91,22.952368467365602,649.7422084950307
Shaw Floors Couture' Collection Ultimate Expression 15′ Peanut Brittle 00702_19829,20.183862506073076,203.6735573626336
Shaw Floors Couture' Collection Ultimate Expression 15′ Sahara 00205_19829,19.939919830130492,200.8940369012978
Shaw Floors Simply The Best Without Limits II Net Sandbank 00103_5E508,19.61098256607841,243.859903107809
Renegade RSS Laptop Backpack - View 3,19.06754623909637,303.16552564152147
Here's What You Need to Know About St. Vincent's Apple Music Radio Show,18.727310490380752,767.1469057488272
Shaw Floors Value Collections Cashmere I Lg Net Harvest Moon 00126_CC47B,18.71650491283946,155.71554845695402
Renegade RSS Laptop Backpack - View 31,18.50575125710501,333.7200595184533
"Will Ferrell, John C. Reilly in Talks for <i>Border Guards</i>",17.513128097564945,419.1618869840148
"J Dilla's Synthesizers, Equipment Donated to Smithsonian Museum",17.025489995013725,577.1665704110036
Designart Blue Fractal Abstract Illustration Abstract Canvas Wall Art - 7 Panels,16.790978252728273,101.68303424428777
33 Screenshots of Musicians in Videogames,16.044997836285496,239.6396220108436
Shaw Floors Shaw Design Center Different Times II 12 Classic Buff 00108_5C494,15.916993355851927,275.6888248097844
"As Punisher Joins <i>Daredevil</i> Season Two, Who Will the New Villain Be?",15.718256857323986,263.5206052190227
Freddy Adu Signs For Yet Another Club You Probably Don't Know,15.42710767594228,1521.8745020533065
Baby Shower Turned Meteor Shower: Anne Hathaway Fights Off Aliens in Sci-Fi Comedy <i>The Shower</i>,15.300702466608508,233.89205242483123
Renegade RSS Laptop Backpack - View 51,14.387506236084118,349.019989577961
Shaw Floors Sandy Hollow Classic Iv 12′ Sahara 00205_E0554,13.974611422300688,216.98970309671378
Shaw Floors Couture' Collection Ultimate Expression 12′ Tropic Vine 00304_19698,13.933876832525268,228.95564526781163
"""Watch: Passion Pit's New Video, """"Lifted Up (1985)""""""",13.915786867637339,492.40265535433497
Breaking Down the $12 in Your Six-Pack of Craft Beer,13.473236682009752,242.94410043773445
Air Conditioners & Parts,13.35530365593338,368.47468535843814
Renegade RSS Laptop Backpack - View 5,12.994953643258205,213.96625573615574
Director Danny Boyle Is Headed To TV With FX Deal,12.985471383088703,646.2782392282754
Aaron Paul to Play Luke Skywalker at LACMA Reading of <i>The Empire Strikes Back</i>,12.973794787813205,231.59402619400615
Axle Laptop Backpack - View 81,12.940401056079656,431.3306989712186
"George R.R. Martin to Focus on Writing Next Book, World Rejoices",12.696206699277594,248.7140834623162
Shaw Floors Shaw Flooring Gallery Burtonville Luminary 00201_5293G,12.225278861330922,238.35178669091198
25 Timeless <i>Golden Girls</i> Memes and Quotables,11.788856701732547,355.9270575728965
Shaw Floors Sandy Hollow III 15′ Adobe 00108_Q4278,11.715610256475786,196.61340755719075
Shaw Floors Value Collections All Star Weekend III 15′ Net Desert Sunrise 00721_E0816,11.593430177950598,346.96519097742356
Shaw Floors Caress By Shaw Cashmere II Icelandic 00100_CCS02,11.54947534996179,183.41261543307212
Renegade RSS Laptop Backpack - View 21,11.526172874497957,543.0314792901053
Ava DuVernay Won't Direct <i>Black Panther</i> After All,11.48978135925979,332.37501175253834
<i>The Colbert Report</i> Gets End Date,11.307162042358305,383.44776371756296
Sound Advice with John W Doyle,11.173509768941924,292.80160732140797
Full body U-Zip main opening - Full body U-Zip main opening on front of bag for easy unloading when you get to camp,11.13363723644672,373.2756605378926
<em>South Park: The Stick of Truth</em> Review (Multi-Platform),11.108968091506316,387.06713726432525
FUSE Backpack 25 - View 81,11.094819353170749,268.6999517352022
Shaw Floors Value Collections Passageway 2 12 Camel 00204_E9153,10.944949681151998,462.13842285077317
<i>I Am Chris Farley</i> Documentary Releases First Trailer,10.924601769772892,266.2237369676115
Donna Tartt's <i>The Goldfinch</i> Scores Film Adaptation,10.651284411710197,328.29239777597655
Brit Marling-Zal Batmanglij Drama Series <i>The OA</i> Gets Picked Up By Netflix,10.598765578458153,363.8589184010748
Shaw Floors Nfa/Apg Color Express II Suitable 00712_NA209,10.566448850422443,205.6803591893256
If Barbie Were The Face of The World's Most Famous Paintings,10.287368762452695,159.25478309143497
<i>X-Men: Days of Future Past</i> Director Joins Vince Gilligan's <i>Battle Creek</i> Pilot,10.235700728185279,276.8146520011179
Daniel Radcliffe Dons a Beard and Saggy Jeans in Trailer for BBC GTA Miniseries <i>The Gamechangers</i>,10.172202765696587,274.5555214797182
DC All Stars podcast,9.865387306092892,125.52233833814203
Rambo 5 und Rocky Spin-Off - Sylvester Stallone gibt Updates,9.812375596345158,233.97968327933944
"George R.R. Martin Donates $10,000 to Wolf Sanctuary for a 13-Year-Old Fan",9.797433353556574,145.31092069034247
"<i>The Long Dark</i> Gets First Trailer, Steam Early Access",9.62484265483707,454.88697085100165
Future Steve Carell Movie Set In North Korea Canceled By New Regency,9.624053512208844,263.4198318511725
Chris Messina In Talks to Star Alongside Ben Affleck in <i>Live By Night</i>,9.549134332058546,304.16968177729353
<i>Breaking Bad</i> Fans Get a Chance to Call Saul with Albuquerque Billboard,9.548312963898018,261.70600155518025
Foyer painted in SALTY AIR,9.514539735038626,161.27723849399828
Watch the First Episode of <i>Garfunkel and Oates</i>,9.276799326131005,510.6574806071091
Lilah Gray Area Rug by Andover Mills,9.244802303397636,169.4575732761006
"Aero 50-975035BLU 50 Series 15x7 Inch Wheel, 5 on 5 Inch BP 3-1/2 BS",9.08306445735818,129.53960693789756
"Anna Kendrick is Writing a Collection of Funny, Personal Essays",8.876232222859038,278.55633687371034
Here's Who Ian McShane May Be Playing in <i>Game of Thrones</i> Season Six,8.859936462587852,218.99988406104237
Foyer painted in HIGH TIDE,8.849963482280327,203.0167596222046
Melrose Gray/Blue Area Rug by Andover Mills,8.815110705930612,271.69885098211216
Aretha Franklin Files $10 Million Suit Over Patti LaBelle Fight Story On Satire Website,8.628795728411715,143.1139187850015
Hawkgirl Cast in <i>Arrow</i>/<i>Flash</i> Spinoff Series For The CW,8.59617330889976,213.14077104404498
Passion. Podcast. Profit.,8.437200696369638,95.30068061961835
Foyer painted in KHAKI,8.428496806112259,150.21872074578454
Watch the Trailer for NBC's <i>Constantine</i>,8.400382678079826,201.48274584936547
<i>It's Always Sunny</i> Gang Will Turn Your Life Around with Self-Help Book,8.330387917378392,198.9406514830491
Anzell Blue/Gray Area Rug by Andover Mills,8.24943771758112,261.9558646031808
Netflix Strikes Deal with AT&T for Faster Streaming,8.24332643567496,99.85331037952622
Foyer painted in HABANERO,8.181813369133044,155.6091482890707
Foyer painted in WHITE,7.875714950804665,135.0167524328
Designart Canada White Stained Glass Floral Design 29-in Round Metal Wall Art,7.871322499777773,60.32128336302619
Plymouth Curtain Panel featuring diamond_x_blue_gray by boxwood_press,7.825419493329545,242.10379198548296
"""Listen to The Dead Weather's New Song, """"Buzzkill(er)""""""",7.769807667751349,162.37891522416018
Lilah Dark Gray Area Rug by Andover Mills,7.72094398854303,292.5644693909361
Gary Ryan Moving Beyond Being Good®,7.62689485613145,495.9434191518222
Sony Won't Release <i>The Interview</i> on VOD,7.606224081329095,186.72715723750522
There's a <i>Mrs. Doubtfire</i> Sequel in the Works,7.58997920097547,183.9288670247278
The Health Mastery Café with Dr. Dave,7.586353608808441,120.76510645670793
Falmouth Navy Blue Area Rug by Andover Mills,7.5455748265384415,162.01275509199886
"Long-Lost F. Scott Fitzgerald Story Rediscovered and Published, 76 Years Later",7.16104485075273,137.44943672583747
Emma Watson to play Belle in Disney's <i>Beauty and the Beast</i>,6.872737442860457,172.536126198979
Talks on the Precepts and Buddhist Ethics,6.848174593990386,175.4315382403489
"Aero 55-004220 55 Series 15x10 Wheel, 4-lug, 4 on 4-1/4 BP, 2 Inch BS",6.808636330905289,145.4707068880192
"Aero 58-905055PUR 58 Series 15x10 Wheel, SP, 5 on 5 Inch, 5-1/2 BS",6.56705803390705,162.40313218577404
"Aero 50-284730 50 Series 15x8 Inch Wheel, 5 on 4-3/4 BP, 3 Inch BS",6.470191979132163,112.20006893380236
Design Art Light in Dense Fall Forest with Fog Ultra Vibrant Landscape Oversized Circle Wall Art,6.333597411957743,69.59047337369535
"Aero 51-204710 51 Series 15x10 Wheel, Spun, 5 on 4-3/4 BP, 1 Inch BS",6.277805883444078,190.63486654793766
"""""""Listen to The Dead Weather's New Song, """"""""Buzzkill(er)""""""""""""""",6.273129808379023,144.39560188506437
Insights with Laura Powers,6.182645183976456,144.33837468341537
35 Possible Titles for the <i>Mrs. Doubtfire</i> Sequel,6.139672591336495,202.90351386188462
Obadiah Hand-Woven Wool Gray Area Rug by Mercury Row,6.130425988684178,211.4770229835856
